Date,Workshop,UniqueID,ProgrammingLanguage,RawData,WriteProgram,SearchOnline,OvercomeProblem,ProgrammingConfident,AnalysesEasier,ProgrammingEfficient,ImmediatelyApply,Comfortable,WorkWithData,WorkshopStrengths,WorkshopImprovements,AccessibilityIssues,AccessibilityResponse,InstructorsClearAnswers,InstructorsEnthusiastic,InstructorsInteracting,InstructorsKnowledgeable,InstructorsOpenEnded,LikelyToRecommend,Country
5/9/18 10:23,Ecology,3chsw7,R,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree ,Agree ,,"quick help from assistants, did not have to interrupt with questions to get an answer","better visibility of screen, more outlets",No,,Agree,Strongly agree,Strongly agree,Strongly agree,,100,United States of America
5/9/18 9:40,Ecology,2trmar,R,Strongly agree,Agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Agree ,Strongly agree ,,It was both theoretical and practical  The explanations were clear and effective  The topics covered were useful,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The instructors were able to explain concepts clearly and it was easy to follow them and be attentive.  When I asked for help the helper was kind and could rapidly identify my problem.  ,100,Germany
5/9/18 5:29,I don't know.,2selaw,R,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral ,Agree ,,.,.,No,,Agree,Agree,Agree,Agree,.,87,United Kingdom
5/9/18 4:41,Genomics,1hocla,R,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree ,Agree ,,Start from basics   Easy to follow ,Should spend more time on actual programming using R   ,No,,Agree,Agree,Agree,Agree,,100,United Kingdom
5/9/18 4:08,Genomics,,,,,,,,,,   ,  ,,,,,,,,,,,,
5/8/18 11:53,Ecology,2lochr,R,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree ,Strongly agree ,,The workshop was very practical based.  Multiple instructors available.  Easy to request help.  Regular breaks.,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Whenever I had an issue, they were there to help.  The class would not go further until every participant was satisfied",100,United Kingdom
5/8/18 11:29,Ecology,1deaus,R,Strongly agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Agree ,Strongly agree ,,"Very friendly, helpful environment  Well organised  Practical learning","The excel section could be covered in a shorter period of time, allowing more time to be spend with coding ",No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United Kingdom
5/8/18 5:58,Ecology,3lohil,R,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree ,Agree ,,Challenges at the end of each section.   Possible to work independently ahead of the rest of the class.,"Pace was, for me, slow and workshop began at a *very* basic level - it should be more clearly described as for people with no coding experience at all (including in languages other than R). E.g. I would consider myself as a beginner in R but I do have some familiarity with Python and basic usage of R/R studio, and extensive experience with handling data in excel.",No,,Agree,Strongly agree,Agree,Agree,,50,United Kingdom
5/8/18 5:17,Ecology,2abcde,R,Strongly agree,Strongly disagree,Agree,Neutral,Disagree,Agree,Neutral,Neutral ,Strongly agree ,,"Approachable, nice, supportive teachers",Running some packages together on the data that we entered and cleaned rather than go for another database.,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United Kingdom
5/9/18 5:24,Ecology,6kuber,R,Strongly agree,Strongly disagree,Agree,Disagree,Neutral,Agree,Strongly agree,Agree ,Agree ,,"The teaching pace was good, the instructors were very helpful","Maybe the workshop could be more specific. The organiser could organise different workshops for different data analysis, for example, R for RNA-Seq analysis or R for microarray analysis. In that way, the participants can get more out of the workshop instead of using a generic dataset that may not even be that relevant to what they need for their own work",No,,Agree,Strongly agree,Strongly agree,Strongly agree,Instructors were very helpful and very patience when explaining to the participants. That encouraged participants to actively voice their questions,100,United Kingdom
5/8/18 4:46,Ecology,2chsal,R,Strongly agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Agree ,Agree ,,Good grounding from the basics.,I found the middle of the second day hard to follow - could expand the time here.,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United Kingdom
5/8/18 4:37,Genomics,1yiden,R,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree ,Agree ,,practical,problem based might be more thought-provoking,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United Kingdom
5/8/18 3:59,Genomics,1chady,R,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Neutral ,Strongly agree ,,,Explanations could be clearer sometimes. Not sure about pace,No,,Agree,Agree,Strongly agree,Strongly agree,,75,United Kingdom
5/7/18 13:30,Ecology,1edkel,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,"The workshop provided a great overview of data management and working with R and SQL. The instructors were knowledgeable, friendly, and helpful.","It's hard to find the best compromise between providing general overviews of a topic and getting more in depth when working with a diverse group of attendees. I think, at times, that the pace was a little slow for those of us who have some familiarity with coding (for example). Perhaps look into a way to incorporate in more complex topics (e.g. practice problems, additional reading materials, etc.) for those who are further advanced, and/or offer additional ""training"" or help time for those who are not.",No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United States of America
5/7/18 9:45,Genomics,,,,,,,,,,   ,  ,,,,,,,,,,,,
5/6/18 5:52,I don't know.,2sawil,R,Strongly agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree ,Neutral ,,The course was focused on the needs of the participants,"It would be useful if, when introducing new functions, they would be described in general terms and not directly applied to datasets. ",No,,Neutral,Strongly agree,Agree,Agree,"When errors where occurring in codes, instructors were available to come to the desk and fix the problems, explaining the mistakes and what those would imply.",75,United Kingdom
5/4/18 18:42,Genomics,,Neither,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree ,Strongly agree ,,Pace of learning was quite good.,,No,,Agree,Strongly agree,Strongly agree,Strongly agree,,96,United States of America
5/4/18 18:37,Genomics,,,,,,,,,,   ,  ,,,,,,,,,,,,
5/4/18 18:44,Genomics,1shpie,Neither,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree ,Strongly agree ,,The skills are quite useful for my own work.,time is too short,No,,Strongly agree,Agree,Agree,Agree,they made it easy to write a shell script which will helpful in my work,85,United States of America
5/4/18 18:38,Genomics,0befai,Neither,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree ,Strongly agree ,,Addressing BWA was helpful for my work,There could be a disclaimer that if you already know the command line and scripting that the workshop may not be advanced enough. ,Yes,,Strongly agree,Agree,Strongly agree,Strongly agree,Adam had good explanations for questions and was passionate and knowledgeable. ,61,United States of America
