End Date,First-Time,Position,Position-Other,Domain,Domain-Other,US-Workshop,Gender,Gender-Other,Race-Ethnicity,Race-Ethnicity-Other
12/27/16 10:30,Yes,Staff,,"Earth sciences (geology, oceanography, meterorology)",,Yes,Female,,White / Caucasian,
12/23/16 13:23,Yes,Staff,,"Earth sciences (geology, oceanography, meterorology)",,Yes,Male,,White / Caucasian,
12/22/16 13:49,Yes,Other (please specify),Employee,Administration,,Yes,Female,,White / Caucasian,
12/22/16 10:40,No,,,,,,,,,
12/22/16 10:25,Yes,Staff,,"Life science (ecology, zoology, botany)",,Yes,Female,,White / Caucasian,
12/22/16 6:17,,,,,,,,,,
12/21/16 11:15,Yes,,,,,,,,,
12/20/16 3:51,,,,,,,,,,
12/16/16 22:10,Yes,Graduate Student,,"Life science (biology, genetics)",,Yes,Female,,White / Caucasian,
12/13/16 19:15,Yes,Graduate Student,,"Life science (biology, genetics)",,Yes,Female,,White / Caucasian,
12/13/16 14:02,Yes,Post-doc,,"Life science (biology, genetics)",,Yes,Female,,White / Caucasian,
12/13/16 13:54,,,,,,,,,,
12/8/16 14:11,Yes,Post-doc,,"Life science (biology, genetics)",,Yes,Male,,White / Caucasian,
12/8/16 13:21,Yes,Staff,,"Life science (ecology, zoology, botany)",,Yes,Female,,White / Caucasian,
12/8/16 12:35,Yes,,,,,,,,,
12/7/16 13:55,Yes,Staff,,"Earth sciences (geology, oceanography, meterorology)",,Yes,Male,,White / Caucasian,
12/7/16 8:52,Yes,Graduate Student,,"Life science (biology, genetics)",,Yes,Female,,White / Caucasian,
12/6/16 14:35,,,,,,,,,,
12/6/16 12:28,Yes,Graduate Student,,"Life science (ecology, zoology, botany)",,Yes,Female,,White / Caucasian,
12/6/16 11:15,,,,,,,,,,
12/6/16 10:22,,,,,,,,,,
12/6/16 10:21,,,,,,,,,,
12/6/16 8:04,Yes,Graduate Student,,Other (please specify),Social Sciences,Yes,Male,,White / Caucasian,
12/6/16 6:20,,,,,,,,,,
12/5/16 18:19,Yes,Graduate Student,,Chemistry,,Yes,Female,,White / Caucasian,
12/5/16 18:14,Yes,Staff,,Humanities,,Yes,Male,,White / Caucasian,
12/1/16 11:27,Yes,Post-doc,,Public health,,Yes,Male,,Asian / Pacific Islander,
12/1/16 20:37,Yes,Post-doc,,Other (please specify),Social Sciences,Yes,Male,,Prefer not to say,
11/30/16 23:43,Yes,Faculty,,Humanities,,Yes,Female,,Asian / Pacific Islander,
11/30/16 20:50,Yes,Post-doc,,Brain and neurosciencse,,,,,,
11/30/16 19:52,Yes,Staff,,"Life science (biology, genetics)",,Yes,Male,,White / Caucasian,
11/30/16 19:03,Yes,Staff,,Public health,,Yes,Female,,White / Caucasian,
11/30/16 18:54,,,,,,,,,,
11/30/16 17:53,Yes,Faculty,,,,Yes,Male,,Asian / Pacific Islander,
11/30/16 13:59,Yes,Staff,,Public health,,Yes,Female,,White / Caucasian,
11/30/16 13:53,Yes,Staff,,Economics,,Yes,Male,,White / Caucasian,
11/30/16 13:52,Yes,Faculty,,Other (please specify),Psychology,Yes,Male,,White / Caucasian,
11/30/16 13:48,Yes,Staff,,,,Yes,Male,,White / Caucasian,
11/30/16 13:48,No,Staff,,Other (please specify),Business,Yes,Female,,White / Caucasian,
11/29/16 15:13,Yes,Post-doc,,Other (please specify),History,Yes,Male,,Prefer not to say,
11/29/16 10:54,Yes,Staff,,Other (please specify),Business,Yes,Female,,White / Caucasian,
11/28/16 18:43,Yes,,,,,,,,,
11/28/16 17:16,Yes,Graduate Student,,Other (please specify),Business,Yes,Female,,White / Caucasian,
11/28/16 13:39,Yes,Faculty,,Statistics,,Yes,Female,,White / Caucasian,
11/23/16 6:23,,,,,,,,,,
11/21/16 10:05,Yes,Graduate Student,,"Life science (ecology, zoology, botany)",,Yes,Female,,White / Caucasian,
11/21/16 9:33,Yes,Graduate Student,,"Life science (biology, genetics)",,Yes,Female,,White / Caucasian,
11/21/16 9:25,Yes,Post-doc,,"Life science (biology, genetics)",,,,,,
11/21/16 8:59,Yes,Post-doc,,Other (please specify),Agricultural Science,Yes,Female,,White / Caucasian,
11/21/16 7:20,Yes,Faculty,,Other (please specify),Media Arts,No,,,,
11/21/16 3:45,Yes,Staff,,Humanities,,No,,,,
11/21/16 2:34,No,Faculty,,Humanities,,No,,,,
11/20/16 22:25,Yes,Graduate Student,,"Life science (biology, genetics)",,Yes,Female,,Asian / Pacific Islander,
11/20/16 22:04,Yes,Post-doc,,"Life science (biology, genetics)",,Yes,Male,,White / Caucasian,
11/20/16 21:45,Yes,Staff,,"Life science (biology, genetics)",,Yes,Female,,White / Caucasian,
11/20/16 17:51,Yes,Post-doc,,"Life science (biology, genetics)",,Yes,Female,,White / Caucasian,
11/20/16 13:00,Yes,Graduate Student,,"Earth sciences (geology, oceanography, meterorology)",,Yes,Male,,White / Caucasian,
11/20/16 12:00,Yes,Other (please specify),Lab Technician,Other (please specify),Computational Biology,Yes,Female,,Asian / Pacific Islander,
11/20/16 11:06,Yes,Graduate Student,,Other (please specify),Social Sciences,No,,,,
11/20/16 10:00,Yes,Post-doc,,"Life science (biology, genetics)",,Yes,Male,,White / Caucasian,
11/19/16 22:59,Yes,Graduate Student,,"Life science (biology, genetics)",,Yes,Female,,Prefer not to say,
11/19/16 16:24,Yes,Staff,,"Life science (biology, genetics)",,Yes,Male,,White / Caucasian,
11/19/16 10:44,Yes,Staff,,"Life science (ecology, zoology, botany)",,Yes,Female,,White / Caucasian,
11/19/16 9:54,Yes,Faculty,,"Life science (biology, genetics)",,Yes,Male,,White / Caucasian,
11/19/16 6:50,Yes,,,,,,,,,
11/19/16 5:44,Yes,Graduate Student,,Humanities,,No,,,,
11/19/16 5:39,Yes,Undergraduate student,,"Life science (biology, genetics)",,Yes,Male,,White / Caucasian,
11/18/16 21:44,Yes,Post-doc,,"Life science (biology, genetics)",,Yes,Female,,White / Caucasian,
11/18/16 18:20,Yes,Post-doc,,"Life science (biology, genetics)",,Yes,Male,,Asian / Pacific Islander,
11/18/16 17:37,Yes,Post-doc,,"Life science (biology, genetics)",,,,,,
11/18/16 17:25,Yes,Post-doc,,"Life science (biology, genetics)",,Yes,Female,,White / Caucasian,
11/18/16 17:24,Yes,Staff,,"Life science (biology, genetics)",,Yes,Female,,White / Caucasian,
11/18/16 17:19,Yes,Post-doc,,"Life science (ecology, zoology, botany)",,Yes,Male,,Asian / Pacific Islander,
11/18/16 17:22,Yes,Graduate Student,,"Life science (biology, genetics)",,Yes,Female,,Asian / Pacific Islander,
11/18/16 17:16,Yes,Post-doc,,"Life science (biology, genetics)",,Yes,Female,,White / Caucasian,
11/18/16 17:08,Yes,Post-doc,,"Life science (biology, genetics)",,Yes,Male,,White / Caucasian,
11/18/16 17:07,Yes,Graduate Student,,"Life science (biology, genetics)",,Yes,Female,,White / Caucasian,
11/18/16 17:09,Yes,Faculty,,Other (please specify),Geobiology,Yes,Male,,Hispanic or Latino,
